"row","pop_group","age_group","indicator_category","indicator","value","n","sum","Year","row_index"
753,"DSS in Given Year","45-64","Oranga Tamariki","Person is subject of a ROC","1",9,"NULL",2021,NA
754,"Non-DSS disabled","45-64","Oranga Tamariki","Person is subject of a ROC","0",44733,"NULL",2021,NA
755,"Non-DSS disabled","65+","Oranga Tamariki","Person is subject of a ROC","1",15,"NULL",2021,NA
756,"DSS in Given Year","03-18","Oranga Tamariki","Person is subject of investigation","0",12849,"NULL",2021,NA
757,"DSS in Given Year","45-64","Oranga Tamariki","Person is subject of investigation","1",9,"NULL",2021,NA
758,"Non-DSS disabled","45-64","Oranga Tamariki","Person is subject of investigation","0",44766,"NULL",2021,NA
759,"Non-DSS disabled","65+","Oranga Tamariki","Person is subject of investigation","1",9,"NULL",2021,NA
760,"DSS in Given Year","03-18","Oranga Tamariki","Person has had care placement","0",16812,"NULL",2021,NA
761,"DSS in Given Year","45-64","Oranga Tamariki","Person has had care placement","1",0,"NULL",2021,NA
762,"Non-DSS disabled","45-64","Oranga Tamariki","Person has had care placement","0",44778,"NULL",2021,NA
763,"DSS in Given Year","03-18","Oranga Tamariki","Person has full drivers licence","0",17985,"NULL",2021,NA
764,"DSS in Given Year","45-64","Oranga Tamariki","Person has full drivers licence","1",2214,"NULL",2021,NA
765,"Non-DSS disabled","45-64","Oranga Tamariki","Person has full drivers licence","0",10380,"NULL",2021,NA
766,"Non-DSS disabled","65+","Oranga Tamariki","Person has full drivers licence","1",43530,"NULL",2021,NA
767,"DSS in Given Year","03-18","Oranga Tamariki","Person has any drivers licence","0",17535,"NULL",2021,NA
768,"DSS in Given Year","45-64","Oranga Tamariki","Person has any drivers licence","1",2400,"NULL",2021,NA
769,"Non-DSS disabled","45-64","Oranga Tamariki","Person has any drivers licence","0",8076,"NULL",2021,NA
770,"Non-DSS disabled","65+","Oranga Tamariki","Person has any drivers licence","1",44004,"NULL",2021,NA
771,"DSS in Given Year","03-18","Oranga Tamariki","Persons parent has full drivers licence","0",8061,"NULL",2021,NA
772,"DSS in Given Year","45-64","Oranga Tamariki","Persons parent has full drivers licence","1",294,"NULL",2021,NA
773,"Non-DSS disabled","45-64","Oranga Tamariki","Persons parent has full drivers licence","0",43731,"NULL",2021,NA
774,"DSS in Given Year","03-18","Oranga Tamariki","Persons parent has any drivers licence","0",4530,"NULL",2021,NA
775,"DSS in Given Year","45-64","Oranga Tamariki","Persons parent has any drivers licence","1",297,"NULL",2021,NA
776,"Non-DSS disabled","45-64","Oranga Tamariki","Persons parent has any drivers licence","0",43695,"NULL",2021,NA
777,"DSS in Given Year","03-18","Justice","Victim - any offence","0",16641,"NULL",2021,NA
778,"DSS in Given Year","45-64","Justice","Victim - any offence","1",1182,"NULL",2021,NA
779,"Non-DSS disabled","45-64","Justice","Victim - any offence","0",37509,"NULL",2021,NA
780,"Non-DSS disabled","65+","Justice","Victim - any offence","1",4911,"NULL",2021,NA
781,"DSS in Given Year","03-18","Justice","Victim - violent offence","0",16701,"NULL",2021,NA
782,"DSS in Given Year","45-64","Justice","Victim - violent offence","1",663,"NULL",2021,NA
783,"Non-DSS disabled","45-64","Justice","Victim - violent offence","0",41952,"NULL",2021,NA
784,"Non-DSS disabled","65+","Justice","Victim - violent offence","1",1104,"NULL",2021,NA
785,"DSS in Given Year","03-18","Justice","Offender - any offence","0",17478,"NULL",2021,NA
786,"DSS in Given Year","45-64","Justice","Offender - any offence","1",1146,"NULL",2021,NA
787,"Non-DSS disabled","45-64","Justice","Offender - any offence","0",36999,"NULL",2021,NA
788,"Non-DSS disabled","65+","Justice","Offender - any offence","1",3531,"NULL",2021,NA
789,"DSS in Given Year","03-18","Justice","Offender - violent offence","0",17724,"NULL",2021,NA
790,"DSS in Given Year","45-64","Justice","Offender - violent offence","1",588,"NULL",2021,NA
791,"Non-DSS disabled","45-64","Justice","Offender - violent offence","0",41988,"NULL",2021,NA
792,"Non-DSS disabled","65+","Justice","Offender - violent offence","1",858,"NULL",2021,NA
793,"DSS in Given Year","03-18","Justice","Served community sentence ever","0",18006,"NULL",2021,NA
794,"DSS in Given Year","45-64","Justice","Served community sentence ever","1",1002,"NULL",2021,NA
795,"Non-DSS disabled","45-64","Justice","Served community sentence ever","0",35874,"NULL",2021,NA
796,"Non-DSS disabled","65+","Justice","Served community sentence ever","1",3711,"NULL",2021,NA
797,"DSS in Given Year","03-18","Justice","Served custodial sentence ever","0",18000,"NULL",2021,NA
798,"DSS in Given Year","45-64","Justice","Served custodial sentence ever","1",387,"NULL",2021,NA
799,"Non-DSS disabled","45-64","Justice","Served custodial sentence ever","0",41742,"NULL",2021,NA
800,"Non-DSS disabled","65+","Justice","Served custodial sentence ever","1",1350,"NULL",2021,NA
801,"DSS in Given Year","03-18","Health","PHO enrolment in 2018","0",84,"NULL",2021,NA
802,"DSS in Given Year","45-64","Health","PHO enrolment in 2018","1",9102,"NULL",2021,NA
803,"Non-DSS disabled","45-64","Health","PHO enrolment in 2018","0",1353,"NULL",2021,NA
804,"Non-DSS disabled","65+","Health","PHO enrolment in 2018","1",79806,"NULL",2021,NA
805,"DSS in Given Year","03-18","Health","Special school (ever)","0",14385,"NULL",2021,NA
806,"Non-DSS disabled","45-64","Health","Special school (ever)","0",44784,"NULL",2021,NA
807,"DSS in Given Year","03-18","Health","Alternative Education (ever)","0",17877,"NULL",2021,NA
808,"Non-DSS disabled","45-64","Health","Alternative Education (ever)","0",44784,"NULL",2021,NA
809,"DSS in Given Year","03-18","Health","Ongoing Resourcing Scheme (ever)","0",11097,"NULL",2021,NA
810,"Non-DSS disabled","45-64","Health","Ongoing Resourcing Scheme (ever)","0",44784,"NULL",2021,NA
811,"DSS in Given Year","03-18","Health","School High Health Needs Fund (ever)","0",17079,"NULL",2021,NA
812,"Non-DSS disabled","45-64","Health","School High Health Needs Fund (ever)","0",44784,"NULL",2021,NA
813,"DSS in Given Year","03-18","Health","Attendance Service (ever)","0",16083,"NULL",2021,NA
814,"Non-DSS disabled","45-64","Health","Attendance Service (ever)","0",44784,"NULL",2021,NA
815,"DSS in Given Year","03-18","Health","Disability Allowance","0",17571,"NULL",2021,NA
816,"DSS in Given Year","45-64","Health","Disability Allowance","1",4806,"NULL",2021,NA
817,"Non-DSS disabled","45-64","Health","Disability Allowance","0",35250,"NULL",2021,NA
818,"Non-DSS disabled","65+","Health","Disability Allowance","1",27294,"NULL",2021,NA
819,"DSS in Given Year","03-18","Health","Child Disability Allowance","0",6375,"NULL",2021,NA
820,"DSS in Given Year","45-64","Health","Child Disability Allowance","1",0,"NULL",2021,NA
821,"Non-DSS disabled","45-64","Health","Child Disability Allowance","0",44775,"NULL",2021,NA
822,"DSS in Given Year","03-18","Health","Job Seeker benefit for Health/Disability","0",14763,"NULL",2021,NA
823,"DSS in Given Year","45-64","Health","Job Seeker benefit for Health/Disability","1",7986,"NULL",2021,NA
824,"Non-DSS disabled","45-64","Health","Job Seeker benefit for Health/Disability","0",27300,"NULL",2021,NA
825,"Non-DSS disabled","65+","Health","Job Seeker benefit for Health/Disability","1",7629,"NULL",2021,NA
826,"DSS in Given Year","03-18","Health","Supported Living Payment","0",14763,"NULL",2021,NA
827,"DSS in Given Year","45-64","Health","Supported Living Payment","1",7986,"NULL",2021,NA
828,"Non-DSS disabled","45-64","Health","Supported Living Payment","0",27300,"NULL",2021,NA
829,"Non-DSS disabled","65+","Health","Supported Living Payment","1",7629,"NULL",2021,NA
830,"DSS in Given Year","03-18","Health","Parent receives Disability Allowance","0",15591,"NULL",2021,NA
831,"DSS in Given Year","45-64","Health","Parent receives Disability Allowance","1",147,"NULL",2021,NA
832,"Non-DSS disabled","45-64","Health","Parent receives Disability Allowance","0",44235,"NULL",2021,NA
833,"Non-DSS disabled","65+","Health","Parent receives Disability Allowance","1",0,"NULL",2021,NA
834,"DSS in Given Year","03-18","Health","Parent receives CDA","0",17562,"NULL",2021,NA
835,"Non-DSS disabled","45-64","Health","Parent receives CDA","0",44784,"NULL",2021,NA
836,"DSS in Given Year","03-18","Health","Parent receives Supported Living Payment or Job Seeker - Disability","0",13200,"NULL",2021,NA
837,"DSS in Given Year","45-64","Health","Parent receives Supported Living Payment or Job Seeker - Disability","1",93,"NULL",2021,NA
838,"Non-DSS disabled","45-64","Health","Parent receives Supported Living Payment or Job Seeker - Disability","0",44388,"NULL",2021,NA
839,"DSS in past","03-18","Demographics","Male","0",2280,"NULL",2021,NA
840,"Non-DSS disabled","03-18","Demographics","Male","0",4368,"NULL",2021,NA
841,"Rest of pop","03-18","Demographics","Male","0",484791,"NULL",2021,NA
842,"DSS in past","03-18","Demographics","Ethnicity - European","0",2346,"NULL",2021,NA
843,"Non-DSS disabled","03-18","Demographics","Ethnicity - European","0",3504,"NULL",2021,NA
844,"Rest of pop","03-18","Demographics","Ethnicity - European","0",323898,"NULL",2021,NA
845,"DSS in past","03-18","Demographics","Ethnicity - Maori","0",5217,"NULL",2021,NA
846,"Non-DSS disabled","03-18","Demographics","Ethnicity - Maori","0",6852,"NULL",2021,NA
847,"Rest of pop","03-18","Demographics","Ethnicity - Maori","0",720666,"NULL",2021,NA
848,"DSS in past","03-18","Demographics","Ethnicity - Pacific","0",6609,"NULL",2021,NA
849,"Non-DSS disabled","03-18","Demographics","Ethnicity - Pacific","0",8622,"NULL",2021,NA
850,"Rest of pop","03-18","Demographics","Ethnicity - Pacific","0",847245,"NULL",2021,NA
851,"DSS in past","03-18","Demographics","Ethnicity - Asian","0",6852,"NULL",2021,NA
852,"Non-DSS disabled","03-18","Demographics","Ethnicity - Asian","0",9279,"NULL",2021,NA
853,"Rest of pop","03-18","Demographics","Ethnicity - Asian","0",817704,"NULL",2021,NA
854,"DSS in past","03-18","Demographics","Ethnicity - MELAA","0",7629,"NULL",2021,NA
855,"Non-DSS disabled","03-18","Demographics","Ethnicity - MELAA","0",10332,"NULL",2021,NA
856,"Rest of pop","03-18","Demographics","Ethnicity - MELAA","0",963075,"NULL",2021,NA
857,"DSS in past","03-18","Demographics","Ethnicity - Other","0",7614,"NULL",2021,NA
858,"Non-DSS disabled","03-18","Demographics","Ethnicity - Other","0",10320,"NULL",2021,NA
859,"Rest of pop","03-18","Demographics","Ethnicity - Other","0",966873,"NULL",2021,NA
860,"DSS in Given Year","19-44","Demographics","Regional Council","12",75,"NULL",2021,NA
861,"DSS in Given Year","19-44","Demographics","Regional Council","15",261,"NULL",2021,NA
862,"DSS in Given Year","19-44","Demographics","Regional Council","18",108,"NULL",2021,NA
863,"DSS in Given Year","45-64","Demographics","Regional Council","2",2154,"NULL",2021,NA
864,"DSS in Given Year","45-64","Demographics","Regional Council","5",99,"NULL",2021,NA
865,"DSS in Given Year","45-64","Demographics","Regional Council","8",774,"NULL",2021,NA
866,"DSS in Given Year","65+","Demographics","Regional Council","18",57,"NULL",2021,NA
867,"DSS in past","03-18","Demographics","Regional Council","3",897,"NULL",2021,NA
868,"DSS in past","19-44","Demographics","Regional Council","15",387,"NULL",2021,NA
869,"DSS in past","19-44","Demographics","Regional Council","18",105,"NULL",2021,NA
870,"DSS in past","45-64","Demographics","Regional Council","18",78,"NULL",2021,NA
871,"DSS in past","65+","Demographics","Regional Council","2",1371,"NULL",2021,NA
872,"Non-DSS disabled","03-18","Demographics","Regional Council","3",1236,"NULL",2021,NA
873,"Non-DSS disabled","03-18","Demographics","Regional Council","6",438,"NULL",2021,NA
874,"Non-DSS disabled","03-18","Demographics","Regional Council","9",1056,"NULL",2021,NA
875,"Non-DSS disabled","03-18","Demographics","Regional Council","99",0,"NULL",2021,NA
876,"Non-DSS disabled","19-44","Demographics","Regional Council","18",264,"NULL",2021,NA
877,"Non-DSS disabled","45-64","Demographics","Regional Council","NULL",0,"NULL",2021,NA
878,"Non-DSS disabled","45-64","Demographics","Regional Council","2",12045,"NULL",2021,NA
879,"Non-DSS disabled","45-64","Demographics","Regional Council","5",645,"NULL",2021,NA
880,"Non-DSS disabled","65+","Demographics","Regional Council","NULL",0,"NULL",2021,NA
881,"Non-DSS disabled","65+","Demographics","Regional Council","2",20694,"NULL",2021,NA
882,"Non-DSS disabled","65+","Demographics","Regional Council","5",915,"NULL",2021,NA
883,"Rest of pop","03-18","Demographics","Regional Council","3",103131,"NULL",2021,NA
884,"Rest of pop","03-18","Demographics","Regional Council","6",37149,"NULL",2021,NA
885,"Rest of pop","19-44","Demographics","Regional Council","18",14085,"NULL",2021,NA
886,"Rest of pop","45-64","Demographics","Regional Council","18",13050,"NULL",2021,NA
887,"Rest of pop","65+","Demographics","Regional Council","NULL",1188,"NULL",2021,NA
888,"Rest of pop","65+","Demographics","Regional Council","2",190815,"NULL",2021,NA
889,"DSS in Given Year","65+","Demographics","Urban/rural","Medium urban area",513,"NULL",2021,NA
890,"DSS in Given Year","65+","Demographics","Urban/rural","Rural other",216,"NULL",2021,NA
891,"DSS in past","03-18","Demographics","Urban/rural","Rural settlement",228,"NULL",2021,NA
892,"DSS in past","03-18","Demographics","Urban/rural","Small urban area",828,"NULL",2021,NA
893,"DSS in past","19-44","Demographics","Urban/rural","Medium urban area",1059,"NULL",2021,NA
894,"DSS in past","45-64","Demographics","Urban/rural","Medium urban area",738,"NULL",2021,NA
895,"DSS in past","45-64","Demographics","Urban/rural","Rural other",699,"NULL",2021,NA
896,"Non-DSS disabled","03-18","Demographics","Urban/rural","Rural settlement",315,"NULL",2021,NA
897,"Non-DSS disabled","19-44","Demographics","Urban/rural","Medium urban area",2484,"NULL",2021,NA
898,"Non-DSS disabled","65+","Demographics","Urban/rural","Rural other",7902,"NULL",2021,NA
899,"Non-DSS disabled","65+","Demographics","Urban/rural","Small urban area",11886,"NULL",2021,NA
900,"Rest of pop","03-18","Demographics","Urban/rural","Inlet",0,"NULL",2021,NA
901,"Rest of pop","03-18","Demographics","Urban/rural","Rural settlement",28605,"NULL",2021,NA
902,"Rest of pop","19-44","Demographics","Urban/rural","Medium urban area",125316,"NULL",2021,NA
903,"Rest of pop","45-64","Demographics","Urban/rural","Medium urban area",97977,"NULL",2021,NA
904,"Rest of pop","45-64","Demographics","Urban/rural","Rural other",190602,"NULL",2021,NA
905,"Rest of pop","65+","Demographics","Urban/rural","Small urban area",98439,"NULL",2021,NA
906,"DSS in Given Year","45-64","Need","WGSS - Communication","2",2298,"NULL",2021,NA
907,"DSS in Given Year","45-64","Need","WGSS - Communication","5",1908,"NULL",2021,NA
908,"DSS in past","03-18","Need","WGSS - Communication","3",444,"NULL",2021,NA
909,"DSS in past","65+","Need","WGSS - Communication","2",774,"NULL",2021,NA
910,"Non-DSS disabled","03-18","Need","WGSS - Communication","3",1377,"NULL",2021,NA
911,"Non-DSS disabled","45-64","Need","WGSS - Communication","2",7878,"NULL",2021,NA
912,"Non-DSS disabled","45-64","Need","WGSS - Communication","5",600,"NULL",2021,NA
913,"Non-DSS disabled","65+","Need","WGSS - Communication","2",16314,"NULL",2021,NA
914,"Non-DSS disabled","65+","Need","WGSS - Communication","5",1161,"NULL",2021,NA
915,"Rest of pop","65+","Need","WGSS - Communication","2",19842,"NULL",2021,NA
916,"DSS in Given Year","45-64","Need","WGSS - Walking","2",2133,"NULL",2021,NA
917,"DSS in Given Year","45-64","Need","WGSS - Walking","5",1908,"NULL",2021,NA
918,"DSS in past","03-18","Need","WGSS - Walking","3",105,"NULL",2021,NA
919,"DSS in past","65+","Need","WGSS - Walking","2",1623,"NULL",2021,NA
920,"Non-DSS disabled","03-18","Need","WGSS - Walking","3",393,"NULL",2021,NA
921,"Non-DSS disabled","45-64","Need","WGSS - Walking","2",9912,"NULL",2021,NA
922,"Non-DSS disabled","45-64","Need","WGSS - Walking","5",630,"NULL",2021,NA
923,"Non-DSS disabled","65+","Need","WGSS - Walking","2",20490,"NULL",2021,NA
924,"Non-DSS disabled","65+","Need","WGSS - Walking","5",960,"NULL",2021,NA
925,"Rest of pop","65+","Need","WGSS - Walking","2",158517,"NULL",2021,NA
926,"DSS in Given Year","45-64","Need","WGSS - Seeing","2",2445,"NULL",2021,NA
927,"DSS in Given Year","45-64","Need","WGSS - Seeing","5",1950,"NULL",2021,NA
928,"DSS in past","03-18","Need","WGSS - Seeing","3",117,"NULL",2021,NA
929,"DSS in past","65+","Need","WGSS - Seeing","2",1800,"NULL",2021,NA
930,"Non-DSS disabled","03-18","Need","WGSS - Seeing","3",2169,"NULL",2021,NA
931,"Non-DSS disabled","45-64","Need","WGSS - Seeing","2",17811,"NULL",2021,NA
932,"Non-DSS disabled","45-64","Need","WGSS - Seeing","5",564,"NULL",2021,NA
933,"Non-DSS disabled","65+","Need","WGSS - Seeing","2",35241,"NULL",2021,NA
934,"Non-DSS disabled","65+","Need","WGSS - Seeing","5",1440,"NULL",2021,NA
935,"Rest of pop","65+","Need","WGSS - Seeing","2",126948,"NULL",2021,NA
936,"DSS in Given Year","45-64","Need","WGSS - Hearing","2",1455,"NULL",2021,NA
937,"DSS in Given Year","45-64","Need","WGSS - Hearing","5",1959,"NULL",2021,NA
938,"DSS in past","03-18","Need","WGSS - Hearing","3",81,"NULL",2021,NA
939,"DSS in past","65+","Need","WGSS - Hearing","2",1305,"NULL",2021,NA
940,"Non-DSS disabled","03-18","Need","WGSS - Hearing","3",1263,"NULL",2021,NA
941,"Non-DSS disabled","45-64","Need","WGSS - Hearing","2",10593,"NULL",2021,NA
942,"Non-DSS disabled","45-64","Need","WGSS - Hearing","5",888,"NULL",2021,NA
943,"Non-DSS disabled","65+","Need","WGSS - Hearing","2",26667,"NULL",2021,NA
944,"Non-DSS disabled","65+","Need","WGSS - Hearing","5",1587,"NULL",2021,NA
945,"Rest of pop","65+","Need","WGSS - Hearing","2",160938,"NULL",2021,NA
946,"DSS in Given Year","45-64","Need","WGSS - Remembering","2",3054,"NULL",2021,NA
947,"DSS in Given Year","45-64","Need","WGSS - Remembering","5",1938,"NULL",2021,NA
948,"DSS in past","03-18","Need","WGSS - Remembering","3",681,"NULL",2021,NA
949,"DSS in past","65+","Need","WGSS - Remembering","2",1758,"NULL",2021,NA
950,"Non-DSS disabled","03-18","Need","WGSS - Remembering","3",4485,"NULL",2021,NA
951,"Non-DSS disabled","45-64","Need","WGSS - Remembering","2",14190,"NULL",2021,NA
952,"Non-DSS disabled","45-64","Need","WGSS - Remembering","5",681,"NULL",2021,NA
953,"Non-DSS disabled","65+","Need","WGSS - Remembering","2",34095,"NULL",2021,NA
954,"Non-DSS disabled","65+","Need","WGSS - Remembering","5",1182,"NULL",2021,NA
955,"Rest of pop","65+","Need","WGSS - Remembering","2",130365,"NULL",2021,NA
956,"DSS in Given Year","45-64","Need","WGSS - Washing","2",2148,"NULL",2021,NA
957,"DSS in Given Year","45-64","Need","WGSS - Washing","5",1908,"NULL",2021,NA
958,"DSS in past","03-18","Need","WGSS - Washing","3",168,"NULL",2021,NA
959,"DSS in past","65+","Need","WGSS - Washing","2",1338,"NULL",2021,NA
960,"Non-DSS disabled","03-18","Need","WGSS - Washing","3",447,"NULL",2021,NA
961,"Non-DSS disabled","45-64","Need","WGSS - Washing","2",9330,"NULL",2021,NA
962,"Non-DSS disabled","45-64","Need","WGSS - Washing","5",738,"NULL",2021,NA
963,"Non-DSS disabled","65+","Need","WGSS - Washing","2",23649,"NULL",2021,NA
964,"Non-DSS disabled","65+","Need","WGSS - Washing","5",1257,"NULL",2021,NA
965,"Rest of pop","65+","Need","WGSS - Washing","2",25770,"NULL",2021,NA
966,"DSS in past","03-18","Need","Autism Spectrum Disorder","0",5334,"NULL",2021,NA
967,"Non-DSS disabled","03-18","Need","Autism Spectrum Disorder","0",10509,"NULL",2021,NA
968,"Rest of pop","03-18","Need","Autism Spectrum Disorder","0",984525,"NULL",2021,NA
969,"DSS in past","03-18","Need","Developmental Delay","0",7725,"NULL",2021,NA
970,"Non-DSS disabled","03-18","Need","Developmental Delay","0",10536,"NULL",2021,NA
971,"Rest of pop","03-18","Need","Developmental Delay","0",980037,"NULL",2021,NA
972,"DSS in Given Year","45-64","Need","Stroke","2",138,"NULL",2021,NA
973,"DSS in past","03-18","Need","Stroke","0",7686,"NULL",2021,NA
974,"DSS in past","03-18","Need","Stroke","3",72,"NULL",2021,NA
975,"DSS in past","65+","Need","Stroke","2",42,"NULL",2021,NA
976,"Non-DSS disabled","03-18","Need","Stroke","0",10524,"NULL",2021,NA
977,"Non-DSS disabled","03-18","Need","Stroke","3",33,"NULL",2021,NA
978,"Non-DSS disabled","45-64","Need","Stroke","2",96,"NULL",2021,NA
979,"Non-DSS disabled","65+","Need","Stroke","2",612,"NULL",2021,NA
980,"Rest of pop","03-18","Need","Stroke","0",984006,"NULL",2021,NA
981,"Rest of pop","03-18","Need","Stroke","3",1128,"NULL",2021,NA
982,"Rest of pop","65+","Need","Stroke","2",3108,"NULL",2021,NA
983,"DSS in past","03-18","Need","ADHD","0",5643,"NULL",2021,NA
984,"Non-DSS disabled","03-18","Need","ADHD","0",8502,"NULL",2021,NA
985,"Rest of pop","03-18","Need","ADHD","0",961926,"NULL",2021,NA
986,"DSS in past","03-18","Need","Cerebral Palsy","0",7758,"NULL",2021,NA
987,"Non-DSS disabled","03-18","Need","Cerebral Palsy","0",10557,"NULL",2021,NA
988,"Rest of pop","03-18","Need","Cerebral Palsy","0",984624,"NULL",2021,NA
989,"DSS in past","03-18","Need","Down Syndrome","0",7761,"NULL",2021,NA
990,"Non-DSS disabled","03-18","Need","Down Syndrome","0",10557,"NULL",2021,NA
991,"Rest of pop","03-18","Need","Down Syndrome","0",984849,"NULL",2021,NA
992,"DSS in past","03-18","Need","Osteoarthritis","0",7575,"NULL",2021,NA
993,"Non-DSS disabled","03-18","Need","Osteoarthritis","0",10266,"NULL",2021,NA
994,"Rest of pop","03-18","Need","Osteoarthritis","0",968916,"NULL",2021,NA
995,"DSS in past","03-18","Need","Generalised Anxiety Disorder","0",7749,"NULL",2021,NA
996,"Non-DSS disabled","03-18","Need","Generalised Anxiety Disorder","0",10545,"NULL",2021,NA
997,"Rest of pop","03-18","Need","Generalised Anxiety Disorder","0",983946,"NULL",2021,NA
998,"DSS in past","03-18","Need","Multiple Sclerosis","0",7758,"NULL",2021,NA
999,"Non-DSS disabled","03-18","Need","Multiple Sclerosis","0",10557,"NULL",2021,NA
1000,"Rest of pop","03-18","Need","Multiple Sclerosis","0",984831,"NULL",2021,NA
1001,"DSS in past","03-18","Need","Major Depressive Disorder","0",7446,"NULL",2021,NA
1002,"Non-DSS disabled","03-18","Need","Major Depressive Disorder","0",10032,"NULL",2021,NA
1003,"Rest of pop","03-18","Need","Major Depressive Disorder","0",951822,"NULL",2021,NA
1004,"DSS in past","03-18","Need","Schizophrenia","0",7740,"NULL",2021,NA
1005,"Non-DSS disabled","03-18","Need","Schizophrenia","0",10533,"NULL",2021,NA
1006,"Rest of pop","03-18","Need","Schizophrenia","0",982923,"NULL",2021,NA
1007,"DSS in past","03-18","Need","Motor Neuron Disease","0",7761,"NULL",2021,NA
1008,"Non-DSS disabled","03-18","Need","Motor Neuron Disease","0",10560,"NULL",2021,NA
1009,"Rest of pop","03-18","Need","Motor Neuron Disease","0",985092,"NULL",2021,NA
1010,"DSS in past","03-18","Need","Spina Bifida","0",7761,"NULL",2021,NA
1011,"Non-DSS disabled","03-18","Need","Spina Bifida","0",10563,"NULL",2021,NA
1012,"Rest of pop","03-18","Need","Spina Bifida","0",985071,"NULL",2021,NA
1013,"DSS in past","03-18","Need","Muscular Dystrophy","0",7758,"NULL",2021,NA
1014,"Non-DSS disabled","03-18","Need","Muscular Dystrophy","0",10557,"NULL",2021,NA
1015,"Rest of pop","03-18","Need","Muscular Dystrophy","0",985017,"NULL",2021,NA
1016,"DSS in past","03-18","Need","Bipolar","0",7719,"NULL",2021,NA
1017,"Non-DSS disabled","03-18","Need","Bipolar","0",10497,"NULL",2021,NA
1018,"Rest of pop","03-18","Need","Bipolar","0",980742,"NULL",2021,NA
1019,"DSS in past","03-18","Need","Ataxia","0",7761,"NULL",2021,NA
1020,"Non-DSS disabled","03-18","Need","Ataxia","0",10560,"NULL",2021,NA
1021,"Rest of pop","03-18","Need","Ataxia","0",985059,"NULL",2021,NA
1022,"DSS in past","03-18","Need","Huntingtons","0",7761,"NULL",2021,NA
1023,"Non-DSS disabled","03-18","Need","Huntingtons","0",10563,"NULL",2021,NA
1024,"Rest of pop","03-18","Need","Huntingtons","0",985167,"NULL",2021,NA
1025,"DSS in past","03-18","Need","Fragile X","0",7761,"NULL",2021,NA
1026,"Non-DSS disabled","03-18","Need","Fragile X","0",10563,"NULL",2021,NA
1027,"Rest of pop","03-18","Need","Fragile X","0",985173,"NULL",2021,NA
1028,"DSS in past","03-18","Need","Polio","0",7761,"NULL",2021,NA
1029,"Non-DSS disabled","03-18","Need","Polio","0",10563,"NULL",2021,NA
1030,"Rest of pop","03-18","Need","Polio","0",985170,"NULL",2021,NA
1031,"DSS in past","03-18","Need","Klinefelters Syndrome","0",7761,"NULL",2021,NA
1032,"Non-DSS disabled","03-18","Need","Klinefelters Syndrome","0",10563,"NULL",2021,NA
1033,"Rest of pop","03-18","Need","Klinefelters Syndrome","0",985164,"NULL",2021,NA
1034,"DSS in past","03-18","Need","Intellectual Disability","0",6267,"NULL",2021,NA
1035,"Non-DSS disabled","03-18","Need","Intellectual Disability","0",10437,"NULL",2021,NA
1036,"Rest of pop","03-18","Need","Intellectual Disability","0",984468,"NULL",2021,NA
1037,"DSS in past","03-18","Need","Deaf or nearly deaf","0",7761,"NULL",2021,NA
1038,"Non-DSS disabled","03-18","Need","Deaf or nearly deaf","0",10551,"NULL",2021,NA
1039,"Rest of pop","03-18","Need","Deaf or nearly deaf","0",984549,"NULL",2021,NA
1040,"DSS in past","03-18","Need","Blind or nearly blind","0",7731,"NULL",2021,NA
1041,"Non-DSS disabled","03-18","Need","Blind or nearly blind","0",10518,"NULL",2021,NA
1042,"Rest of pop","03-18","Need","Blind or nearly blind","0",982161,"NULL",2021,NA
1043,"DSS in past","03-18","Need","Incontinence (faecal/urinary)","0",6165,"NULL",2021,NA
1044,"Non-DSS disabled","03-18","Need","Incontinence (faecal/urinary)","0",10389,"NULL",2021,NA
1045,"Rest of pop","03-18","Need","Incontinence (faecal/urinary)","0",981069,"NULL",2021,NA
1046,"DSS in past","03-18","Need","Amputation of hand/arm","0",7746,"NULL",2021,NA
1047,"Non-DSS disabled","03-18","Need","Amputation of hand/arm","0",10557,"NULL",2021,NA
1048,"Rest of pop","03-18","Need","Amputation of hand/arm","0",985065,"NULL",2021,NA
1049,"DSS in past","03-18","Need","ACC - Case management","0",7686,"NULL",2021,NA
1050,"Non-DSS disabled","03-18","Need","ACC - Case management","0",10440,"NULL",2021,NA
1051,"Rest of pop","03-18","Need","ACC - Case management","0",980289,"NULL",2021,NA
1052,"DSS in past","03-18","Need","ACC - Workers Compensation","0",7758,"NULL",2021,NA
1053,"Non-DSS disabled","03-18","Need","ACC - Workers Compensation","0",10551,"NULL",2021,NA
1054,"Rest of pop","03-18","Need","ACC - Workers Compensation","0",984795,"NULL",2021,NA
1055,"DSS in past","03-18","Need","ACC - Serious injury","0",7728,"NULL",2021,NA
1056,"Non-DSS disabled","03-18","Need","ACC - Serious injury","0",10545,"NULL",2021,NA
1057,"Rest of pop","03-18","Need","ACC - Serious injury","0",985128,"NULL",2021,NA
1058,"DSS in past","03-18","Need","ACC - Sensitive claim","0",7719,"NULL",2021,NA
1059,"Non-DSS disabled","03-18","Need","ACC - Sensitive claim","0",10494,"NULL",2021,NA
1060,"Rest of pop","03-18","Need","ACC - Sensitive claim","0",983400,"NULL",2021,NA
1061,"DSS in past","03-18","Socio-economic background","Receiving main benefit","0",7320,"NULL",2021,NA
1062,"Non-DSS disabled","03-18","Socio-economic background","Receiving main benefit","0",10131,"NULL",2021,NA
